"product_id","warehouse_id","inventory_turnover"
"PROD008","WH-S-02","2.9410801963993453"
"PROD001","WH-S-01","2.5107084019769357"
"PROD004","WH-E-02","9.7130044843049327"
"PROD003","WH-S-02","4.5469314079422383"
"PROD009","WH-N-01","6.3470149253731343"
"PROD006","WH-S-01","1.3556797020484171"
"PROD008","WH-W-02","1.7926341072858287"
"PROD007","WH-N-02","13.4656084656084656"
"PROD006","WH-N-01","1.3785772690106296"
"PROD004","WH-N-01","5.4992784992784993"
"PROD003","WH-E-02","4.7487001733102253"
"PROD007","WH-E-01","3.1791530944625407"
"PROD006","WH-N-02","1.2968009478672986"
"PROD010","WH-S-01","1.4427710843373494"
"PROD009","WH-N-02","4.1351351351351351"
"PROD007","WH-N-01","18.3125000000000000"
"PROD006","WH-E-01","1.6389132340052585"
"PROD002","WH-W-02","5.7824074074074074"
"PROD001","WH-S-02","4.7731958762886598"
"PROD005","WH-S-01","3.6800356506238859"
"PROD004","WH-W-02","2.5294117647058824"
"PROD007","WH-W-02","10.5200000000000000"
"PROD005","WH-N-02","10.9230769230769231"
"PROD002","WH-E-01","5.5602836879432624"
"PROD002","WH-W-01","30.6486486486486486"
"PROD009","WH-S-01","2.4008097165991903"
"PROD003","WH-E-01","2.5892376681614350"
"PROD001","WH-E-02","8.3571428571428571"
"PROD003","WH-W-01","7.4562937062937063"
"PROD006","WH-E-02","15.9288389513108614"
"PROD010","WH-N-01","3.1964912280701754"
"PROD002","WH-N-02","4.5855263157894737"
"PROD009","WH-W-02","2.1086235489220564"
"PROD005","WH-S-02","3.8740331491712707"
"PROD010","WH-E-01","2.3053333333333333"
"PROD001","WH-N-02","11.0831024930747922"
"PROD005","WH-N-01","4.0860655737704918"
"PROD001","WH-N-01","5.6994134897360704"
"PROD010","WH-N-02","2.0604113110539846"
"PROD003","WH-W-02","4.6459854014598540"
"PROD006","WH-S-02","10.6678700361010830"
"PROD009","WH-W-01","30.2718446601941748"
"PROD008","WH-S-01","3.6697388632872504"
"PROD008","WH-W-01","8.9532967032967033"
"PROD001","WH-W-01","6.4113924050632911"
"PROD007","WH-S-02","6.0803571428571429"
"PROD004","WH-N-02","4.9680511182108626"
"PROD004","WH-S-02","10.0758620689655172"
"PROD010","WH-E-02","5.5113122171945701"
"PROD001","WH-E-01","4.1311288483466363"
"PROD004","WH-S-01","2.6763250883392226"
"PROD009","WH-S-02","6.3068181818181818"
"PROD005","WH-W-02","7.7488986784140969"
"PROD009","WH-E-02","5.0738396624472574"
"PROD002","WH-S-01","2.7457364341085271"
"PROD010","WH-S-02","5.6712328767123288"
"PROD010","WH-W-02","5.3102409638554217"
"PROD006","WH-W-02","3.1134301270417423"
"PROD009","WH-E-01","2.9377859103385178"
"PROD003","WH-N-02","7.2872928176795580"
"PROD004","WH-W-01","1.9928888888888889"
"PROD005","WH-W-01","3.3006329113924051"
"PROD007","WH-W-01","7.7546012269938650"
"PROD003","WH-N-01","21.5932203389830508"
"PROD002","WH-N-01","2.1390728476821192"
"PROD004","WH-E-01","2.2661188369152971"
"PROD005","WH-E-02","10.2412060301507538"
"PROD005","WH-E-01","15.5235294117647059"
"PROD007","WH-E-02","33.2142857142857143"
"PROD008","WH-E-02","7.6250000000000000"
"PROD006","WH-W-01","2.6099447513812155"
"PROD007","WH-S-01","2.4834437086092715"
"PROD002","WH-S-02","3.4368541905855339"
"PROD010","WH-W-01","7.0255319148936170"
"PROD001","WH-W-02","3.4807302231237323"
"PROD008","WH-N-02","4.7533414337788578"
"PROD002","WH-E-02","6.6400000000000000"
"PROD003","WH-S-01","26.7861635220125786"
"PROD008","WH-N-01","2.3159722222222222"
"PROD008","WH-E-01","1.6415568110483365"
