"product_id","warehouse_id","utilization_ratio"
"PROD001","WH-N-01","0.88000000000000000000"
"PROD001","WH-N-02","0.57392686804451510334"
"PROD001","WH-S-01","0.81916329284750337382"
"PROD001","WH-S-02","0.75140845070422535211"
"PROD001","WH-E-01","0.47818974918211559433"
"PROD001","WH-E-02","0.21097954790096878364"
"PROD001","WH-W-01","0.10540360240160106738"
"PROD001","WH-W-02","0.75963020030816640986"
"PROD002","WH-N-01","0.95240825688073394495"
"PROD002","WH-N-02","0.90476190476190476190"
"PROD002","WH-S-01","0.45679886685552407932"
"PROD002","WH-S-02","0.88113302984319676277"
"PROD002","WH-E-01","0.72830578512396694215"
"PROD002","WH-E-02","0.59943582510578279267"
"PROD002","WH-W-01","0.19750889679715302491"
"PROD002","WH-W-02","0.78260869565217391304"
"PROD003","WH-N-01","0.07338308457711442786"
"PROD003","WH-N-02","0.42421875000000000000"
"PROD003","WH-S-01","0.11656891495601173021"
"PROD003","WH-S-02","0.35063291139240506329"
"PROD003","WH-E-01","0.79871060171919770774"
"PROD003","WH-E-02","0.35355392156862745098"
"PROD003","WH-W-01","0.47390223695111847556"
"PROD003","WH-W-02","0.29056203605514316013"
"PROD004","WH-N-01","0.48091603053435114504"
"PROD004","WH-N-02","0.57536764705882352941"
"PROD004","WH-S-01","0.86333129957291031117"
"PROD004","WH-S-02","0.41193181818181818182"
"PROD004","WH-E-01","0.88478747203579418345"
"PROD004","WH-E-02","0.20144534778681120145"
"PROD004","WH-W-01","0.95258255715495342930"
"PROD004","WH-W-02","0.83504398826979472141"
"PROD005","WH-N-01","0.26068376068376068376"
"PROD005","WH-N-02","0.34790365744870651204"
"PROD005","WH-S-01","0.65883734586024662361"
"PROD005","WH-S-02","0.58996088657105606258"
"PROD005","WH-E-01","0.09964830011723329426"
"PROD005","WH-E-02","0.40256237356709372893"
"PROD005","WH-W-01","0.71439336850037678975"
"PROD005","WH-W-02","0.24395486297689414293"
"PROD006","WH-N-01","0.97761790567545963229"
"PROD006","WH-N-02","0.87055183084063950490"
"PROD006","WH-S-01","0.85645933014354066986"
"PROD006","WH-S-02","0.21862667719021310182"
"PROD006","WH-E-01","0.81616595135908440629"
"PROD006","WH-E-02","0.37031900138696255201"
"PROD006","WH-W-01","0.57790549169859514687"
"PROD006","WH-W-02","0.87599364069952305246"
"PROD007","WH-N-01","0.08000000000000000000"
"PROD007","WH-N-02","0.12936344969199178645"
"PROD007","WH-S-01","0.80106100795755968170"
"PROD007","WH-S-02","0.24547945205479452055"
"PROD007","WH-E-01","0.72662721893491124260"
"PROD007","WH-E-02","0.11618257261410788382"
"PROD007","WH-W-01","0.71806167400881057269"
"PROD007","WH-W-02","0.35450061652281134402"
"PROD008","WH-N-01","0.86746987951807228916"
"PROD008","WH-N-02","0.68355481727574750831"
"PROD008","WH-S-01","0.45208333333333333333"
"PROD008","WH-S-02","0.66054054054054054054"
"PROD008","WH-E-01","0.91184888380080137378"
"PROD008","WH-E-02","0.57925636007827788650"
"PROD008","WH-W-01","0.23499031633311814074"
"PROD008","WH-W-02","0.79961587708066581306"
"PROD009","WH-N-01","0.58260869565217391304"
"PROD009","WH-N-02","0.96416938110749185668"
"PROD009","WH-S-01","0.99117174959871589085"
"PROD009","WH-S-02","0.67766776677667766777"
"PROD009","WH-E-01","0.81203566121842496285"
"PROD009","WH-E-02","0.77073170731707317073"
"PROD009","WH-W-01","0.08526490066225165563"
"PROD009","WH-W-02","0.75280898876404494382"
"PROD010","WH-N-01","0.96283783783783783784"
"PROD010","WH-N-02","0.44355758266818700114"
"PROD010","WH-S-01","0.92350486787204450626"
"PROD010","WH-S-02","0.91741472172351885099"
"PROD010","WH-E-01","0.77319587628865979381"
"PROD010","WH-E-02","0.76914153132250580046"
"PROD010","WH-W-01","0.27712264150943396226"
"PROD010","WH-W-02","0.96652110625909752547"
