"warehouse_id","region","avg_delivery_time"
"WH-E-01","North","12.0000000000000000"
"WH-S-02","East","11.0000000000000000"
"WH-E-02","North","11.0000000000000000"
"WH-N-02","South","11.0000000000000000"
"WH-E-02","South","10.0000000000000000"
"WH-W-01","East","10.0000000000000000"
"WH-S-02","North","10.0000000000000000"
"WH-S-01","North","9.0000000000000000"
"WH-N-01","West","9.0000000000000000"
"WH-N-01","North","7.0000000000000000"
"WH-W-02","North","7.0000000000000000"
"WH-S-02","West","7.0000000000000000"
"WH-W-01","North","7.0000000000000000"
"WH-E-01","West","7.0000000000000000"
"WH-S-01","East","7.0000000000000000"
"WH-W-02","South","7.0000000000000000"
"WH-N-01","East","6.0000000000000000"
"WH-W-01","South","6.0000000000000000"
"WH-S-01","South","6.0000000000000000"
"WH-E-02","West","6.0000000000000000"
"WH-W-01","West","6.0000000000000000"
"WH-E-01","South","6.0000000000000000"
"WH-S-01","West","5.0000000000000000"
"WH-N-01","South","5.0000000000000000"
"WH-N-02","West","5.0000000000000000"
"WH-N-02","East","5.0000000000000000"
"WH-W-02","East","5.0000000000000000"
"WH-N-02","North","5.0000000000000000"
"WH-E-02","East","4.0000000000000000"
"WH-E-01","East","4.0000000000000000"
"WH-W-02","West","4.0000000000000000"
"WH-S-02","South","3.0000000000000000"
